Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Tarik Skubal,DET,14,9,23,2.81,32,32,0,0,,200,160,68,62,20,44,0,7,242,10.92,1.96,5.56,0.92,0.30,0.214,1.02,0.29,0.77,0.42,,2.79,5.86,5.80,6.50,1149.00,5.75,1071.00,5.36,4.10,3.68,3.41,3.19,2.99,2.81,2.63,2.43,2.18,3.57,3.38,3.26,3.16,3.06,2.97,2.88,2.77,2.63,Tarik Skubal,22267.00,669373.00
Logan Webb,SFG,12,11,21,3.32,32,32,0,0,,199,194,82,74,17,47,1,6,187,8.45,2.12,3.99,0.76,0.23,0.249,1.21,0.31,0.73,0.55,,3.15,4.06,3.91,55.689998626708984,974.1000000000003,4.894974874371861,989.00,4.969849246231155,4.80,4.35,4.05,3.81,3.60,3.41,3.21,2.99,2.71,4.19,4.01,3.88,3.77,3.68,3.58,3.48,3.37,3.22,Logan Webb,17995.00,657277.00
Cristopher Sánchez,PHI,13,9,21,3.16,32,32,0,0,,198,183,77,69,18,50,0,7,192,8.74,2.27,3.85,0.80,0.24,0.243,1.18,0.30,0.75,0.54,,3.21,4.69,5.10,29.38,981.00,4.954545454545454,969.00,4.893939393939394,4.61,4.16,3.87,3.63,3.42,3.23,3.03,2.82,2.54,4.03,3.84,3.70,3.59,3.50,3.40,3.30,3.19,3.03,Cristopher Sanchez,20778.00,650911.00
Bryan Woo,SEA,12,11,19,3.59,32,32,0,0,,195,176,84,78,26,44,1,8,196,9.04,2.03,4.45,1.21,0.24,0.235,1.13,0.28,0.74,0.39,,3.66,3.29,2.93,41.310001373291016,901.60,4.6235897435897435,873.00,4.476923076923077,5.05,4.57,4.26,4.01,3.78,3.57,3.36,3.13,2.83,4.46,4.24,4.09,3.97,3.86,3.75,3.63,3.51,3.34,Bryan Woo,30279.00,693433.00
Paul Skenes,PIT,13,9,21,2.92,32,32,0,0,,194,158,69,63,18,52,1,7,237,11.00,2.39,4.60,0.81,0.30,0.218,1.08,0.30,0.76,0.44,,2.77,5.70,5.74,10.00,1100.40,5.6721649484536085,1033.00,5.324742268041237,4.28,3.84,3.55,3.31,3.11,2.92,2.73,2.52,2.26,3.75,3.54,3.40,3.29,3.18,3.08,2.98,2.86,2.70,Paul Skenes,33677.00,694973.00
Garrett Crochet,BOS,14,9,21,3.01,32,32,0,0,,193,157,71,65,20,50,0,6,239,11.14,2.32,4.80,0.91,0.31,0.219,1.07,0.30,0.76,0.46,,2.84,5.59,5.38,10.69,1084.00,5.616580310880829,1015.00,5.259067357512953,4.38,3.93,3.64,3.40,3.20,3.01,2.81,2.60,2.34,3.83,3.63,3.49,3.37,3.27,3.17,3.07,2.95,2.80,Garrett Crochet,27463.00,676979.00
Zac Gallen,,11,12,16,4.22,32,32,0,0,,191,190,97,90,26,62,1,7,182,8.55,2.91,2.94,1.24,0.22,0.252,1.32,0.30,0.72,0.42,,4.10,2.34,2.19,216.25,756.6000000000001,3.9612565445026187,774.00,4.052356020942408,5.78,5.29,4.96,4.69,4.45,4.23,4.00,3.75,3.43,5.11,4.90,4.76,4.64,4.53,4.42,4.31,4.18,4.01,Zac Gallen,19291.00,668678.00
Nick Pivetta,SDP,12,11,17,3.96,32,32,0,0,,191,170,90,84,29,59,1,6,210,9.89,2.77,3.57,1.39,0.26,0.232,1.20,0.29,0.74,0.34,,3.95,2.87,2.69,88.12999725341797,839.70,4.396335078534031,803.00,4.204188481675392,5.43,4.94,4.62,4.36,4.13,3.91,3.69,3.45,3.14,4.79,4.58,4.43,4.31,4.20,4.09,3.98,3.85,3.68,Nick Pivetta,15454.00,601713.00
Framber Valdez,,12,10,19,3.47,31,31,0,0,,190,180,81,73,16,63,0,8,179,8.44,2.96,2.85,0.76,0.22,0.249,1.28,0.31,0.73,0.56,,3.47,3.72,3.81,95.80999755859375,886.20,4.66,887.00,4.668421052631579,5.00,4.53,4.22,3.97,3.75,3.55,3.34,3.11,2.82,4.36,4.17,4.04,3.93,3.83,3.73,3.63,3.51,3.36,Framber Valdez,17295.00,664285.00
Max Fried,NYY,13,9,19,3.34,31,31,0,0,,189,178,78,70,19,54,1,7,179,8.50,2.59,3.29,0.90,0.23,0.244,1.23,0.30,0.75,0.51,,3.52,3.65,3.71,58.689998626708984,877.1000000000001,4.640740740740742,873.00,4.619047619047619,4.83,4.37,4.06,3.81,3.60,3.40,3.19,2.97,2.68,4.22,4.02,3.89,3.78,3.67,3.58,3.47,3.36,3.20,Max Fried,13743.00,608331.00
Sandy Alcantara,MIA,10,12,16,4.15,31,31,0,0,,187,189,93,86,22,56,1,8,159,7.65,2.70,2.83,1.07,0.20,0.259,1.31,0.30,0.71,0.47,,4.01,2.51,2.57,157.50,747.7999999999998,3.9989304812834217,775.00,4.144385026737968,5.77,5.26,4.92,4.65,4.40,4.17,3.94,3.69,3.36,5.12,4.89,4.73,4.60,4.48,4.36,4.24,4.10,3.91,Sandy Alcantara,18684.00,645261.00
Kevin Gausman,TOR,11,10,16,4.05,31,31,0,0,,185,178,90,83,26,55,1,4,181,8.76,2.65,3.30,1.25,0.23,0.245,1.25,0.29,0.73,0.38,,3.95,2.83,2.21,116.12999725341797,771.4000000000001,4.17,772.00,4.172972972972973,5.58,5.09,4.76,4.49,4.26,4.04,3.82,3.57,3.25,4.90,4.70,4.56,4.44,4.34,4.23,4.13,4.00,3.84,Kevin Gausman,14107.00,592332.00
Merrill Kelly,ARI,11,11,16,4.15,31,31,0,0,,185,186,92,85,24,57,1,5,169,8.23,2.76,2.99,1.16,0.21,0.256,1.31,0.30,0.72,0.42,,3.99,2.48,2.51,229.1300048828125,742.1999999999999,4.011891891891891,765.00,4.135135135135135,5.74,5.23,4.89,4.62,4.38,4.15,3.92,3.67,3.34,5.07,4.85,4.70,4.57,4.46,4.34,4.23,4.09,3.91,Merrill Kelly,11156.00,518876.00
Dylan Cease,TOR,12,10,17,3.61,32,32,0,0,,185,157,80,74,22,68,1,6,216,10.52,3.29,3.20,1.09,0.28,0.223,1.22,0.29,0.75,0.38,,3.57,3.80,3.27,69.55999755859375,900.20,4.865945945945946,849.00,4.589189189189189,5.07,4.59,4.28,4.02,3.80,3.59,3.38,3.14,2.85,4.43,4.23,4.09,3.98,3.88,3.78,3.67,3.55,3.40,Dylan Cease,18525.00,656302.00
Jacob deGrom,TEX,12,10,18,3.48,31,31,0,0,,185,160,77,71,25,42,0,6,214,10.43,2.05,5.09,1.20,0.28,0.226,1.09,0.29,0.75,0.38,,3.33,4.31,3.71,44.44,929.50,5.024324324324325,884.00,4.778378378378378,4.96,4.46,4.13,3.87,3.64,3.42,3.21,2.97,2.67,4.38,4.14,3.97,3.84,3.72,3.60,3.47,3.34,3.15,Jacob deGrom,10954.00,594798.00
Hunter Brown,HOU,12,10,18,3.63,31,31,0,0,,184,165,81,74,21,61,1,7,200,9.77,2.98,3.28,1.02,0.26,0.235,1.23,0.30,0.74,0.47,,3.55,3.59,3.29,38.00,870.3000000000002,4.729891304347827,843.00,4.581521739130435,5.16,4.67,4.35,4.09,3.86,3.65,3.43,3.20,2.89,4.52,4.31,4.17,4.05,3.94,3.84,3.73,3.60,3.44,Hunter Brown,25880.00,686613.00
Kyle Freeland,COL,9,14,12,5.14,32,32,0,0,,184,215,112,105,31,49,1,7,137,6.70,2.38,2.82,1.51,0.17,0.287,1.44,0.32,0.69,0.41,,4.73,1.67,1.75,745.1900024414062,527.3000000000002,2.8657608695652184,623.00,3.385869565217391,6.84,6.30,5.94,5.64,5.38,5.13,4.88,4.60,4.24,6.13,5.89,5.72,5.58,5.45,5.33,5.20,5.05,4.85,Kyle Freeland,16256.00,607536.00
